tier_id,category,rate_value,rate_type,cap_amount,cap_type,cap_group
1,Dining,10.0,percentage,,,
1,Other,1.0,percentage,,,
1,Streaming,10.0,percentage,,,
1,Transport,10.0,percentage,,,
2,Dining,8.0,percentage,,,
2,Other,1.0,percentage,,,
2,Streaming,8.0,percentage,,,
2,Transport,8.0,percentage,,,
3,Departmental,1.5,percentage,,,
3,Dining,1.5,percentage,,,
3,Groceries,1.5,percentage,,,
3,Petrol,1.5,percentage,,,
3,Retail,1.5,percentage,,,
4,Dining,6.0,percentage,80.0,dollars_earned,
4,Groceries,6.0,percentage,80.0,dollars_earned,
4,Other,0.2,percentage,80.0,dollars_earned,
4,Petrol,8.0,percentage,80.0,dollars_earned,
5,Bonus,0.0,percentage,160.0,dollars_earned,bonus_categories
5,Dining,5.0,percentage,,,bonus_categories
5,Groceries,3.0,percentage,,,bonus_categories
5,Other,0.25,percentage,160.0,dollars_earned,
5,Petrol,6.0,percentage,,,bonus_categories
5,Streaming,3.0,percentage,,,bonus_categories
5,Transport,3.0,percentage,,,bonus_categories
5,Utilities,3.0,percentage,,,bonus_categories
6,Bonus,0.0,percentage,80.0,dollars_earned,bonus_categories
6,Dining,5.0,percentage,,,bonus_categories
6,Groceries,3.0,percentage,,,bonus_categories
6,Other,0.25,percentage,80.0,dollars_earned,
6,Petrol,6.0,percentage,,,bonus_categories
6,Streaming,3.0,percentage,,,bonus_categories
6,Transport,3.0,percentage,,,bonus_categories
6,Utilities,3.0,percentage,,,bonus_categories
7,Other,0.3,percentage,70.0,dollars_earned,
7,Overseas,3.25,percentage,70.0,dollars_earned,
7,Transport,6.0,percentage,70.0,dollars_earned,
8,Bonus,0.0,percentage,62.5,dollars_earned,quarterly_cap
8,Dining,8.0,percentage,,,quarterly_cap
8,Entertainment,8.0,percentage,,,quarterly_cap
8,Other,0.0,percentage,62.5,dollars_earned,
8,Retail,8.0,percentage,,,quarterly_cap
9,Bonus,0.0,percentage,62.5,dollars_earned,quarterly_cap
9,Dining,5.0,percentage,,,quarterly_cap
9,Entertainment,5.0,percentage,,,quarterly_cap
9,Other,0.0,percentage,62.5,dollars_earned,
9,Retail,5.0,percentage,,,quarterly_cap
10,Bonus,3.0,mpd,3000.0,dollars_earned,bonus_categories
10,Dining,3.0,mpd,,,bonus_categories
10,Groceries,3.0,mpd,,,bonus_categories
10,Other,1.2,mpd,,,
10,Overseas,2.0,mpd,1000.0,dollars_spent,
10,Transport,3.0,mpd,,,bonus_categories
11,Other,1.2,mpd,,,
11,Overseas,2.2,mpd,,,
11,Travel,10.0,mpd,,,
12,Online,4.0,mpd,,,
12,Other,0.4,mpd,,,
12,Retail,4.0,mpd,,,
13,Other,1.3,mpd,,,
13,Overseas,2.0,mpd,,,
14,Departmental,6.0,mpd,1110.0,dollars_spent,
14,Online,4.0,mpd,1110.0,dollars_spent,
14,Other,0.0,mpd,1110.0,dollars_spent,
14,Retail,6.0,mpd,1110.0,dollars_spent,
15,Online,2.0,mpd,1000.0,dollars_spent,
15,Other,0.4,mpd,,,
16,Online,4.0,mpd,1000.0,dollars_spent,
16,Other,0.4,mpd,,,
16,Overseas,1.2,mpd,1000.0,dollars_spent,
17,Online,4.0,mpd,,,
17,Other,0.4,mpd,,,
17,Transport,4.0,mpd,,,
18,Dining,4.0,mpd,1000.0,dollars_spent,
18,Entertainment,4.0,mpd,1000.0,dollars_spent,
18,Other,0.4,mpd,,,
18,Retail,4.0,mpd,1000.0,dollars_spent,
18,Transport,4.0,mpd,1000.0,dollars_spent,
18,Travel,4.0,mpd,1000.0,dollars_spent,
19,Online,4.0,mpd,1110.0,dollars_spent,
19,Other,0.4,mpd,,,
19,Retail,4.0,mpd,1110.0,dollars_spent,
20,Other,0.4,mpd,,,
20,Overseas,4.0,mpd,2000.0,dollars_spent,
20,Petrol,4.0,mpd,2000.0,dollars_spent,
20,Retail,4.0,mpd,2000.0,dollars_spent,
21,Online,3.0,mpd,,,
21,Other,1.4,mpd,,,
21,Overseas,5.0,mpd,,,
21,Travel,8.0,mpd,,,
22,Dining,2.4,mpd,1000.0,dollars_spent,
22,Online,2.4,mpd,1000.0,dollars_spent,
22,Other,1.2,mpd,,,
22,Transport,2.4,mpd,1000.0,dollars_spent,
22,Travel,2.4,mpd,1000.0,dollars_spent,
23,Dining,1.2,mpd,800.0,dollars_spent,
23,Groceries,1.2,mpd,800.0,dollars_spent,
23,Other,0.4,mpd,,,
23,Overseas,2.8,mpd,800.0,dollars_spent,
23,Petrol,1.2,mpd,800.0,dollars_spent,
23,Retail,1.2,mpd,800.0,dollars_spent,
23,Transport,1.2,mpd,800.0,dollars_spent,
23,Travel,2.8,mpd,800.0,dollars_spent,
23,Utilities,0.56,mpd,800.0,dollars_spent,
24,Dining,4.0,mpd,800.0,dollars_spent,
24,Other,0.4,mpd,,,
24,Overseas,2.8,mpd,800.0,dollars_spent,
24,Petrol,4.0,mpd,800.0,dollars_spent,
25,Departmental,1.7,percentage,,,
25,Dining,1.7,percentage,,,
25,Groceries,1.7,percentage,,,
25,Other,0.0,percentage,,, 
25,Overseas,1.7,percentage,,,
25,Petrol,1.7,percentage,,,
25,Retail,1.7,percentage,,,
25,Transport,1.7,percentage,,,
25,Utilities,0.3,percentage,,,
